Date,Close,High,Low,Open,Volume
2023-10-09,120.16947174072266,120.16947174072266,114.44711594354538,114.44711594354538,1300800
2023-10-10,126.140625,126.140625,126.140625,126.140625,96000
2023-10-11,123.85167694091797,131.36538173641222,119.87090779739032,126.14062223553219,612800
2023-10-12,130.02186584472656,130.02186584472656,117.73125024723247,120.41826637724212,332800
2023-10-13,136.49061584472656,136.49061584472656,136.49061584472656,136.49061584472656,99200
2023-10-16,143.3076934814453,143.3076934814453,136.49062004374636,143.3076934814453,124800
2023-10-17,150.4730682373047,150.4730682373047,147.288456009324,149.07980513300967,52800
2023-10-18,157.9867706298828,157.9867706298828,149.27883839044046,157.9867706298828,411200
2023-10-19,150.124755859375,155.24998983421784,150.124755859375,155.24998983421784,99200
2023-10-20,157.5886993408203,157.5886993408203,144.40240198822735,147.53725151108742,172800
2023-10-23,147.63677978515625,170.12811604544083,144.30287959617644,159.28052634307227,161600
2023-10-25,147.48748779296875,157.0911020763583,145.29806788925742,155.24999034742575,59200
2023-10-26,145.4473419189453,146.49229682324125,131.36537759214104,144.4521496644594,100800
2023-10-27,159.6288299560547,164.95311453871557,146.293259952888,146.293259952888,144000
2023-10-30,160.47476196289062,164.20673317132994,156.24519459332606,160.12643857593108,64000
2023-10-31,160.7235565185547,162.21634496919143,152.26442196494654,162.21634496919143,112000
2023-11-01,172.21803283691406,173.4122605756721,159.2307701125253,165.201923991745,140800
2023-11-02,162.56466674804688,174.1586508596765,160.32548409413675,172.66586242373643,51200
2023-11-03,176.29830932617188,180.12980574350658,156.79254941769062,173.06393436116414,160000
2023-11-06,148.3831787109375,185.60336483404967,141.51634269697234,180.32884258184066,355200
2023-11-07,144.75071716308594,152.16489676946023,134.3509606533049,140.32211446011843,219200
2023-11-08,158.83270263671875,165.10240219479115,147.28846548406594,151.21947216766955,179200
2023-11-09,158.13604736328125,164.20672635103665,156.29495075484525,164.20672635103665,123200
2023-11-10,169.531005859375,171.77018842184467,159.23075999784308,159.23075999784308,105600
2023-11-13,169.28221130371094,172.16826281428754,168.18749373187626,169.18268600247907,43200
2023-11-15,172.06874084472656,173.16345843775764,167.19230469852462,173.16345843775764,62400
2023-11-16,159.03173828125,169.23245972213036,157.7379852077597,169.23245972213036,65600
2023-11-17,162.7139434814453,163.70913579631653,154.25480880503991,155.5485618514584,44800
2023-11-20,165.05264282226562,166.0975825496265,161.22114653717964,161.22114653717964,44800
2023-11-21,165.0028839111328,169.18268847158015,161.370422959162,164.65456053716673,54400
2023-11-22,164.3560028076172,172.46682919036488,160.77331962717372,169.18269155255297,54400
2023-11-23,165.10240173339844,167.64014521598955,160.77332420232403,166.1971193722981,89600
2023-11-24,198.09303283691406,198.09303283691406,166.197116184734,169.8793247038368,382400
2023-11-28,192.27114868164062,206.999997709602,189.28557179159827,201.72547550010802,161600
2023-11-29,191.87307739257812,200.03365116936695,190.33052629921107,197.9437412770078,67200
2023-11-30,191.62428283691406,194.01273831309067,190.57932787155073,190.6290905242689,35200
2023-12-01,189.2855682373047,198.04326332073452,189.2855682373047,196.00311611376176,40000
2023-12-04,190.03196716308594,193.91322625486555,187.09615290721288,189.08653751260877,40000
2023-12-05,183.66273498535156,188.09133751407336,181.8713858767032,187.14590790227885,16000
2023-12-06,182.16995239257812,189.08653579646835,182.16995239257812,189.08653579646835,17600
2023-12-07,178.18917846679688,194.958159056688,178.18917846679688,194.958159056688,35200
2023-12-08,181.77186584472656,182.12018922068646,173.11369595164862,178.13942005739278,49600
2023-12-11,175.4026336669922,188.09133482588098,174.1586433572972,188.09133482588098,62400
2023-12-12,176.19879150390625,180.12979786780295,175.94999344055293,176.9451856939662,22400
2023-12-13,177.14422607421875,184.1105720434296,174.70600802208077,174.70600802208077,40000
2023-12-14,168.83436584472656,177.14422753648034,165.45071813449357,172.16826608882639,68800
2023-12-15,162.1665802001953,167.34157705776343,162.01730743125196,165.35119248289652,54400
2023-12-18,160.57427978515625,164.20672551789565,160.47475448339804,162.21634096616359,24000
2023-12-19,163.4603271484375,164.2067213363299,156.24518333214422,164.2067213363299,32000
2023-12-20,153.60794067382812,163.36081326197046,149.77644416746526,163.21154048813491,54400
2023-12-21,151.16970825195312,153.01082012930695,145.29807960246382,150.2740412326852,70400
2023-12-22,153.95623779296875,153.95623779296875,149.5276353246004,149.5276353246004,33600
2023-12-26,152.31417846679688,153.75720420705892,151.26922355645928,153.3591333771345,28800
2023-12-27,167.64013671875,169.1826877915826,155.2499958558052,155.2499958558052,102400
2023-12-28,161.2211456298828,169.13292103574503,160.72354950139552,169.13292103574503,27200
2023-12-29,157.73797607421875,161.3206743494452,157.73797607421875,161.3206743494452,36800
2024-01-01,162.1665802001953,163.21153513908627,158.38484647086236,163.21153513908627,12800
2024-01-02,155.6480712890625,162.21634661257795,155.39927321143585,162.21634661257795,19200
2024-01-03,149.97547912597656,153.25961680896896,148.2836552242622,153.25961680896896,123200
2024-01-04,152.66249084472656,153.2596122914624,149.2788431410348,151.96585928048756,62400
2024-01-05,154.50360107421875,155.2997579332651,151.31898882346238,154.60312637613544,40000
2024-01-08,162.36561584472656,166.99326909893767,156.74278548713744,163.6096062057356,76800
2024-01-09,162.51490783691406,170.17788561402702,161.27091744499864,167.19230867343006,64000
2024-01-10,159.03173828125,161.91778998059542,158.38485415178988,160.32549135474034,24000
2024-01-11,164.20672607421875,167.9884597724078,161.22114923650568,163.21153379498105,36800
2024-01-12,161.07188415527344,164.15697125687572,160.37523737821925,164.15697125687572,41600
2024-01-15,161.07188415527344,161.07188415527344,161.07188415527344,161.07188415527344,0
2024-01-16,169.1826934814453,175.60168087350834,168.08797586121707,168.08797586121707,104000
2024-01-17,164.9033660888672,170.177888476391,160.87283411418247,169.1826961461197,56000
2024-01-18,162.36561584472656,166.19711223080606,161.22115078676995,166.19711223080606,80000
2024-01-19,163.4105682373047,169.08316115797788,157.24037917998598,164.20672509302332,78400
2024-01-23,157.8872528076172,168.18749921854607,157.04134846126678,168.18749921854607,51200
2024-01-24,159.23077392578125,164.15697295702412,156.74279308319092,157.240389251709,30400
2024-01-25,156.9915771484375,164.20672094765254,156.64325378740742,162.66416992590706,78400
2024-01-29,149.27883911132812,158.2355694580078,147.78605072021483,158.2355694580078,52800
2024-01-30,143.80528259277344,149.27884006170254,142.81009032569543,145.29807099339047,100800
2024-01-31,153.1600799560547,154.1055247342137,143.35744548448056,143.35744548448056,25600
2024-02-01,149.12957763671875,156.84231824138834,147.58702647869885,156.84231824138834,17600
2024-02-02,146.6913299560547,150.7716242101713,146.6913299560547,149.52763391140752,33600
2024-02-05,141.11827087402344,147.18893477972858,139.32692170078462,145.2980754879611,43200
2024-02-06,143.2579345703125,144.00432882669006,140.8197163698985,144.00432882669006,27200
2024-02-07,146.29327392578125,149.17932563653963,144.40241455465403,146.29327392578125,12800
2024-02-08,141.11827087402344,144.30288319009836,140.81971014757875,143.45696366274328,14400
2024-02-09,141.76513671875,143.30768778406707,140.32211095523235,142.31249550778884,12800
2024-02-12,141.01873779296875,144.30287523188352,140.37186890920412,144.30287523188352,20800
2024-02-13,141.8148956298828,141.8148956298828,139.32691500479714,139.32691500479714,3200
2024-02-14,140.32211303710938,148.0846159443332,140.32211303710938,143.30768991023936,16000
